Линия метро, Линия метро, Станция отправления, Станция прибытия, Время проезда в метро, Схема метро, Расстояние, Ссылка на маршрут на карте
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Нахимовский проспект, Севастопольская, 110, http://metro.yandex.ru/moscow?from=150&to=151&route=0, 1.529929, http://www.yournavigation.org/?flat=55.662379flon=37.605274&tlat=55.651552&tlon=37.598384&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Севастопольская, Чертановская, 125, http://metro.yandex.ru/moscow?from=151&to=152&route=0, 1.831837, http://www.yournavigation.org/?flat=55.651552flon=37.598384&tlat=55.640538&tlon=37.606065&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Каховская линия, Севастопольская, Каховская, 120, http://metro.yandex.ru/moscow?from=151&to=172&route=0, 0.347379, http://www.yournavigation.org/?flat=55.651552flon=37.598384&tlat=55.653177&tlon=37.598232&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Чертановская, Южная, 190, http://metro.yandex.ru/moscow?from=152&to=153&route=0, 2.299557, http://www.yournavigation.org/?flat=55.640538flon=37.606065&tlat=55.622436&tlon=37.609047&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Южная, Пражская, 110, http://metro.yandex.ru/moscow?from=153&to=154&route=0, 1.29083, http://www.yournavigation.org/?flat=55.622436flon=37.609047&tlat=55.611577&tlon=37.603972&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Пражская, Улица Академика Янгеля, 150, http://metro.yandex.ru/moscow?from=154&to=155&route=0, 2.327583, http://www.yournavigation.org/?flat=55.611577flon=37.603972&tlat=55.595883&tlon=37.600675&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Улица Академика Янгеля, Аннино, 115, http://metro.yandex.ru/moscow?from=155&to=156&route=0, 1.650232, http://www.yournavigation.org/?flat=55.595883flon=37.600675&tlat=55.583657&tlon=37.596812&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Серпуховско-Тимирязевская линия, Аннино, Бульвар Дмитрия Донского, 160, http://metro.yandex.ru/moscow?from=156&to=157&route=0, 2.728787, http://www.yournavigation.org/?flat=55.583657flon=37.596812&tlat=55.569667&tlon=37.577346&v=foot&shortest=1&layer=mapnik
Серпуховско-Тимирязевская линия, Бутовская линия, Бульвар Дмитрия Донского, Улица Старокачаловская, 120, http://metro.yandex.ru/moscow?from=157&to=173&route=0, 0.128616, http://www.yournavigation.org/?flat=55.569667flon=37.577346&tlat=55.568838&tlon=37.576708&v=foot&shortest=1&layer=mapnik
Люблинская линия, Люблинская линия, Трубная, Сретенский бульвар, 160, http://metro.yandex.ru/moscow?from=158&to=159&route=0, 1.144502, http://www.yournavigation.org/?flat=55.767939flon=37.621902&tlat=55.766299&tlon=37.636374&v=foot&shortest=1&layer=mapnik
Люблинская линия, Люблинская линия, Достоевская, Трубная, 150, http://metro.yandex.ru/moscow?from=182&to=158&route=0, 1.73867, http://www.yournavigation.org/?flat=55.781484flon=37.614716&tlat=55.767939&tlon=37.621902&v=foot&shortest=1&layer=mapnik
Люблинская линия, Люблинская линия, Сретенский бульвар, Чкаловская, 160, http://metro.yandex.ru/moscow?from=159&to=160&route=0, 2.544688, http://www.yournavigation.org/?flat=55.766299flon=37.636374&tlat=55.755930&tlon=37.659263&v=foot&shortest=1&layer=mapnik
Люблинская линия, Люблинская линия, Чкаловская, Римская, 175, http://metro.yandex.ru/moscow?from=160&to=161&route=0, 2.159799, http://www.yournavigation.org/?flat=55.755930flon=37.659263&tlat=55.746228&tlon=37.681254&v=foot&shortest=1&layer=mapnik
Люблинская линия, Люблинская линия, Римская, Крестьянская застава, 165, http://metro.yandex.ru/moscow?from=161&to=162&route=0, 2.230574, http://www.yournavigation.org/?flat=55.746228flon=37.681254&tlat=55.732464&tlon=37.664788&v=foot&shortest=1&layer=mapnik
Люблинская линия, Люблинская линия, Крестьянская застава, Дубровка, 145, http://metro.yandex.ru/moscow?from=162&to=163&route=0, 2.009752, http://www.yournavigation.org/?flat=55.732464flon=37.664788&tlat=55.718070&tlon=37.676259&v=foot&shortest=1&layer=mapnik
Люблинская линия, Люблинская линия, Дубровка, Кожуховская, 130, http://metro.yandex.ru/moscow?from=163&to=164&route=0, 1.483708, http://www.yournavigation.org/?flat=55.718070flon=37.676259&tlat=55.706320&tlon=37.685710&v=foot&shortest=1&layer=mapnik
Люблинская линия, Люблинская линия, Кожуховская, Печатники, 240, http://metro.yandex.ru/moscow?from=164&to=165&route=0, 5.287229, http://www.yournavigation.org/?flat=55.706320flon=37.685710&tlat=55.692972&tlon=37.728398&v=foot&shortest=1&layer=mapnik
Люблинская линия, Люблинская линия, Печатники, Волжская, 160, http://metro.yandex.ru/moscow?from=165&to=166&route=0, 2.950787, http://www.yournavigation.org/?flat=55.692972flon=37.728398&tlat=55.690446&tlon=37.754314&v=foot&shortest=1&layer=mapnik
Люблинская линия, Люблинская линия, Волжская, Люблино, 170, http://metro.yandex.ru/moscow?from=166&to=167&route=0, 2.539221, http://www.yournavigation.org/?flat=55.690446flon=37.754314&tlat=55.676265&tlon=37.762003&v=foot&shortest=1&layer=mapnik
Люблинская линия, Люблинская линия, Люблино, Братиславская, 185, http://metro.yandex.ru/moscow?from=167&to=168&route=0, 2.433061, http://www.yournavigation.org/?flat=55.676265flon=37.762003&tlat=55.659460&tlon=37.750514&v=foot&shortest=1&layer=mapnik
Люблинская линия, Люблинская линия, Братиславская, Марьино, 140, http://metro.yandex.ru/moscow?from=168&to=169&route=0, 1.662327, http://www.yournavigation.org/?flat=55.659460flon=37.750514&tlat=55.649368&tlon=37.744118&v=foot&shortest=1&layer=mapnik
Люблинская линия, Люблинская линия, Марьино, Борисово, 150, http://metro.yandex.ru/moscow?from=169&to=183&route=0, 2.288946, http://www.yournavigation.org/?flat=55.649368flon=37.744118&tlat=55.633587&tlon=37.743831&v=foot&shortest=1&layer=mapnik
Каховская линия, Каховская линия, Каширская, Варшавская, 175, http://metro.yandex.ru/moscow?from=170&to=171&route=0, 3.089084, http://www.yournavigation.org/?flat=55.654681flon=37.648205&tlat=55.653294&tlon=37.619522&v=foot&shortest=1&layer=mapnik
Каховская линия, Каховская линия, Варшавская, Каховская, 125, http://metro.yandex.ru/moscow?from=171&to=172&route=0, 1.417265, http://www.yournavigation.org/?flat=55.653294flon=37.619522&tlat=55.653177&tlon=37.598232&v=foot&shortest=1&layer=mapnik
Бутовская линия, Бутовская линия, Улица Старокачаловская, Улица Скобелевская, 295, http://metro.yandex.ru/moscow?from=173&to=174&route=0, 3.102766, http://www.yournavigation.org/?flat=55.568838flon=37.576708&tlat=55.548034&tlon=37.554618&v=foot&shortest=1&layer=mapnik
Бутовская линия, Бутовская линия, Лесопарковая, Улица Старокачаловская, 180, http://metro.yandex.ru/moscow?from=192&to=173&route=0, 2.024398, http://www.yournavigation.org/?flat=55.58162flon=37.57804&tlat=55.568838&tlon=37.576708&v=foot&shortest=1&layer=mapnik
Бутовская линия, Бутовская линия, Улица Скобелевская, Бульвар Адмирала Ушакова, 80, http://metro.yandex.ru/moscow?from=174&to=175&route=0, 0.97006, http://www.yournavigation.org/?flat=55.548034flon=37.554618&tlat=55.545207&tlon=37.542329&v=foot&shortest=1&layer=mapnik
Бутовская линия, Бутовская линия, Бульвар Адмирала Ушакова, Улица Горчакова, 105, http://metro.yandex.ru/moscow?from=175&to=176&route=0, 1.250261, http://www.yournavigation.org/?flat=55.545207flon=37.542329&tlat=55.541825&tlon=37.531226&v=foot&shortest=1&layer=mapnik
Бутовская линия, Бутовская линия, Улица Горчакова, Бунинская Аллея, 115, http://metro.yandex.ru/moscow?from=176&to=177&route=0, 1.073322, http://www.yournavigation.org/?flat=55.541825flon=37.531226&tlat=55.537964&tlon=37.515919&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Мякинино, Волоколамская, 180, http://metro.yandex.ru/moscow?from=178&to=179&route=0, 13.916378, http://www.yournavigation.org/?flat=55.823990flon=37.384747&tlat=55.835508&tlon=37.382034&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Волоколамская, Митино, 170, http://metro.yandex.ru/moscow?from=179&to=180&route=0, 2.263227, http://www.yournavigation.org/?flat=55.835508flon=37.382034&tlat=55.846098&tlon=37.361220&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Митино, Пятницкое шоссе, 120, http://metro.yandex.ru/moscow?from=180&to=188&route=0, 1.40574, http://www.yournavigation.org/?flat=55.846098flon=37.361220&tlat=55.855644&tlon=37.354025&v=foot&shortest=1&layer=mapnik
Люблинская линия, Люблинская линия, Марьина Роща, Достоевская, 150, http://metro.yandex.ru/moscow?from=181&to=182&route=0, 1.649719, http://www.yournavigation.org/?flat=55.793723flon=37.616180&tlat=55.781484&tlon=37.614716&v=foot&shortest=1&layer=mapnik
Люблинская линия, Люблинская линия, Борисово, Шипиловская, 130, http://metro.yandex.ru/moscow?from=183&to=184&route=0, 1.989475, http://www.yournavigation.org/?flat=55.633587flon=37.743831&tlat=55.620982&tlon=37.743723&v=foot&shortest=1&layer=mapnik
Люблинская линия, Люблинская линия, Шипиловская, Зябликово, 110, http://metro.yandex.ru/moscow?from=184&to=185&route=0, 1.146696, http://www.yournavigation.org/?flat=55.620982flon=37.743723&tlat=55.612329&tlon=37.745205&v=foot&shortest=1&layer=mapnik
Таганско-Краснопресненская линия, Таганско-Краснопресненская линия, Лермонтовский проспект, Жулебино, 170, http://metro.yandex.ru/moscow?from=189&to=190&route=0, 2.111864, http://www.yournavigation.org/?flat=55.69951flon=37.8526&tlat=55.68456&tlon=37.85416&v=foot&shortest=1&layer=mapnik
Бутовская линия, Бутовская линия, Битцевский парк, Лесопарковая, 180, http://metro.yandex.ru/moscow?from=191&to=192&route=0, 3.512478, http://www.yournavigation.org/?flat=55.60029flon=37.55562&tlat=55.58162&tlon=37.57804&v=foot&shortest=1&layer=mapnik
Калининская линия, Калининская линия, Деловой центр, Парк Победы, 460, http://metro.yandex.ru/moscow?from=193&to=194&route=0, 3.065805, http://www.yournavigation.org/?flat=55.74927flon=37.54013&tlat=55.73714&tlon=37.51994&v=foot&shortest=1&layer=mapnik
