Линия метро, Линия метро, Станция отправления, Станция прибытия, Время проезда в метро, Схема метро, Расстояние, Ссылка на маршрут на карте
Замоскворецкая линия, Замоскворецкая линия, Павелецкая, Автозаводская, 205, http://metro.yandex.ru/moscow?from=31&to=32&route=0, 4.19064, http://www.yournavigation.org/?flat=55.729787flon=37.638961&tlat=55.706634&tlon=37.657008&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Кольцевая линия, Павелецкая, Павелецкая, 240, http://metro.yandex.ru/moscow?from=31&to=74&route=0, 0.043161, http://www.yournavigation.org/?flat=55.729787flon=37.638961&tlat=55.729787&tlon=37.638961&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Автозаводская, Коломенская, 275, http://metro.yandex.ru/moscow?from=32&to=33&route=0, 4.077253, http://www.yournavigation.org/?flat=55.706634flon=37.657008&tlat=55.677423&tlon=37.663719&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Коломенская, Каширская, 230, http://metro.yandex.ru/moscow?from=33&to=34&route=0, 2.922088, http://www.yournavigation.org/?flat=55.677423flon=37.663719&tlat=55.654681&tlon=37.648205&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Каширская, Кантемировская, 205, http://metro.yandex.ru/moscow?from=34&to=35&route=0, 2.51226, http://www.yournavigation.org/?flat=55.654681flon=37.648205&tlat=55.636107&tlon=37.656218&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Каховская линия, Каширская, Каширская, 120, http://metro.yandex.ru/moscow?from=34&to=170&route=0, 0.019939, http://www.yournavigation.org/?flat=55.654681flon=37.648205&tlat=55.654681&tlon=37.648205&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Кантемировская, Царицыно, 145, http://metro.yandex.ru/moscow?from=35&to=36&route=0, 2.232426, http://www.yournavigation.org/?flat=55.636107flon=37.656218&tlat=55.620982&tlon=37.669612&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Царицыно, Орехово, 165, http://metro.yandex.ru/moscow?from=36&to=37&route=0, 2.40629, http://www.yournavigation.org/?flat=55.620982flon=37.669612&tlat=55.612690&tlon=37.695214&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Орехово, Домодедовская, 145, http://metro.yandex.ru/moscow?from=37&to=38&route=0, 1.875964, http://www.yournavigation.org/?flat=55.612690flon=37.695214&tlat=55.610697&tlon=37.717905&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Домодедовская, Красногвардейская, 150, http://metro.yandex.ru/moscow?from=38&to=39&route=0, 2.070937, http://www.yournavigation.org/?flat=55.610697flon=37.717905&tlat=55.613717&tlon=37.746355&v=foot&shortest=1&layer=mapnik
